OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier,cluster
95430,Congenital tracheomalacia,Infancy,No data available,2,8
95429,Angioma serpiginosum,Childhood,"Autosomal dominant, Not applicable, X-linked recessive",2,7
94091,Mills syndrome,"Adolescent, Adult, Childhood, Elderly",Unknown,2,14
94093,Neuroleptic malignant syndrome,All ages,Unknown,3,6
94122,"Cerebellar ataxia, Cayman type","Infancy, Neonatal",Autosomal recessive,1,12
94124,Spinocerebellar ataxia with axonal neuropathy type 1,Adolescent,Autosomal recessive,3,4
94125,Recessive mitochondrial ataxia syndrome,"Adolescent, Childhood",Autosomal recessive,2,14
94145,Autosomal dominant cerebellar ataxia type I,All ages,Autosomal dominant,3,4
94147,Spinocerebellar ataxia type 7,"Adolescent, Adult, Childhood, Elderly, Infancy",Autosomal dominant,2,1
94148,Autosomal dominant cerebellar ataxia type III,"Adolescent, Adult, Childhood, Elderly",Autosomal dominant,2,1
94149,Autosomal dominant cerebellar ataxia type IV,Unknown,Autosomal dominant,3,11
94150,Anonychia congenita totalis,Unknown,Autosomal recessive,3,3
94064,Deafness-infertility syndrome,"Childhood, Infancy, Neonatal",Autosomal recessive,1,2
94063,12q14 microdeletion syndrome,Childhood,Unknown,2,7
94066,Severe intellectual disability-epilepsy-anal anomalies-distal phalangeal hypoplasia,"Infancy, Neonatal",Autosomal recessive,1,2
94065,15q24 microdeletion syndrome,Childhood,"Not applicable, Unknown",2,7
94068,Spondyloepiphyseal dysplasia congenita,"Antenatal, Neonatal",Autosomal dominant,3,8
94083,Partington syndrome,Childhood,X-linked recessive,2,7
94080,Non-functioning paraganglioma,"Adolescent, Adult, Childhood, Elderly",Unknown,2,14
94086,Blue diaper syndrome,"Infancy, Neonatal",Unknown,2,8
94088,Hereditary renal hypouricemia,All ages,Autosomal recessive,3,4
94087,Cytophagic histiocytic panniculitis,Adult,Unknown,3,0
94090,Pseudohypoparathyroidism type 2,All ages,Not applicable,3,10
94089,Pseudohypoparathyroidism type 1B,"Adolescent, Childhood, Infancy, Neonatal","Autosomal dominant, Not applicable",2,8
96175,Ring chromosome 11 syndrome,"Antenatal, Infancy, Neonatal",Unknown,2,14
96173,Ring chromosome 9 syndrome,"Antenatal, Neonatal",Unknown,3,14
96172,Ring chromosome 3 syndrome,"Antenatal, Infancy, Neonatal",Unknown,2,14
96171,Ring chromosome 2 syndrome,"Antenatal, Infancy, Neonatal",Unknown,2,14
96170,Emanuel syndrome,"Antenatal, Neonatal",Unknown,3,8
96169,Koolen-De Vries syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant,2,8
96168,Monosomy 13q34 syndrome,"Antenatal, Neonatal",Not applicable,3,8
96167,Recombinant 8 syndrome,"Infancy, Neonatal",Unknown,2,8
96160,Non-distal deletion 12q syndrome,Neonatal,Unknown,3,8
96150,Distal deletion 14q syndrome,Neonatal,Unknown,3,8
96148,Distal deletion 10q syndrome,"Antenatal, Neonatal","Not applicable, Unknown",3,14
96149,Distal deletion 12q syndrome,Neonatal,Unknown,3,8
96147,Kleefstra syndrome due to 9q34 microdeletion,"Infancy, Neonatal",Not applicable,2,1
96145,Distal deletion 4q syndrome,"Infancy, Neonatal",Unknown,2,8
96129,Distal deletion 19p syndrome,"Antenatal, Neonatal",Unknown,3,8
96125,Distal deletion 6p syndrome,"Antenatal, Infancy, Neonatal","Not applicable, Unknown",2,14
96126,Distal deletion 7p syndrome,"Antenatal, Neonatal",Unknown,3,8
96121,7q11.23 microduplication syndrome,"Infancy, Neonatal",Unknown,2,8
96123,Monosomy 22 syndrome,Neonatal,Unknown,3,8
96112,Non-distal duplication 9q syndrome,Neonatal,Unknown,3,8
96107,Distal duplication 20q syndrome,"Antenatal, Neonatal",Unknown,3,8
96106,Distal duplication 16q syndrome,"Antenatal, Neonatal",Unknown,3,8
96105,Distal duplication 13q syndrome,"Antenatal, Neonatal",Unknown,3,8
96109,Distal duplication 22q syndrome,"Antenatal, Neonatal",Unknown,3,8
96098,Distal duplication 6q syndrome,"Antenatal, Neonatal",Unknown,3,8
96097,Distal duplication 5q syndrome,Neonatal,Unknown,3,8
96096,Distal duplication 4q syndrome,"Antenatal, Neonatal",Unknown,3,8
96103,Distal duplication 11q syndrome,"Antenatal, Neonatal",Unknown,3,8
96102,Distal duplication 10q syndrome,"Infancy, Neonatal",Unknown,2,14
96101,Distal duplication 9q syndrome,"Antenatal, Neonatal",Unknown,3,8
96100,Distal duplication 8q syndrome,"Antenatal, Neonatal",Unknown,3,8
96094,Distal duplication 2q syndrome,"Infancy, Neonatal",Unknown,2,8
96095,3q26 microduplication syndrome,"Antenatal, Neonatal",Unknown,3,14
96092,8p inverted duplication/deletion syndrome,"Antenatal, Infancy, Neonatal","Not applicable, Unknown",2,14
96072,4p16.3 microduplication syndrome,"Infancy, Neonatal",Unknown,2,8
96074,Distal duplication 7p syndrome,"Antenatal, Neonatal",Unknown,3,8
96078,16p13.3 microduplication syndrome,"Infancy, Neonatal",Unknown,2,14
96069,Distal duplication 1p36 syndrome,"Infancy, Neonatal",Unknown,2,8
96068,Mosaic trisomy 22 syndrome,"Antenatal, Neonatal",Unknown,3,14
96071,Distal duplication 3p syndrome,"Antenatal, Neonatal",Unknown,3,8
96070,Distal duplication 2p syndrome,Neonatal,Unknown,3,8
96059,Mosaic trisomy 4 syndrome,"Antenatal, Neonatal",Unknown,3,14
96060,Mosaic trisomy 5 syndrome,"Antenatal, Neonatal",Unknown,3,14
96061,Mosaic trisomy 8 syndrome,"Antenatal, Infancy, Neonatal","Not applicable, Unknown",2,8
96063,Mosaic trisomy 10 syndrome,"Antenatal, Neonatal",Unknown,3,14
95717,Idiopathic congenital hypothyroidism,"Infancy, Neonatal",Unknown,2,8
95719,Thyroid hemiagenesis,Neonatal,Not applicable,3,8
95720,Thyroid hypoplasia,"Infancy, Neonatal","Autosomal dominant, Not applicable",2,8
96055,Tetrasomy 21 syndrome,"Antenatal, Infancy, Neonatal",Unknown,2,14
597623,IRF2BPL-related regressive neurodevelopmental disorder-dystonia-seizures syndrome,"Childhood, Infancy, Neonatal",Autosomal dominant,2,1
597733,Oculocutaneous albinism type 8,Childhood,Autosomal recessive,2,7
597738,Luscan-Lumish syndrome,"Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant,2,1
597887,ALPI-related inflammatory bowel disease,"Adolescent, Infancy",Autosomal recessive,2,7
93555,Mixed cryoglobulinemia type III,All ages,Unknown,3,6
93554,Mixed cryoglobulinemia type II,All ages,Unknown,3,6
597939,Euthyroid dysprealbuminemic hyperthyroxinemia,Adult,Autosomal dominant,3,13
597743,SETD2-related microcephaly-severe intellectual disability-multiple congenital anomalies syndrome,Neonatal,Autosomal dominant,3,1
597746,Blepharophimosis-intellectual disability syndrome/genitopatellar overlap syndrome,"Antenatal, Neonatal",Unknown,3,8
93552,Pediatric systemic lupus erythematosus,"Adolescent, Childhood, Infancy, Neonatal",Not applicable,2,14
597874,MTHFS-related developmental delay-microcephaly-short stature-epilepsy syndrome,"Antenatal, Infancy, Neonatal",Autosomal recessive,1,2
93562,AFib amyloidosis,Unknown,Autosomal dominant,3,11
598216,Upper tract urothelial carcinoma,No data available,Unknown,3,11
598603,Facial dysmorphism-hypertrichosis-epilepsy-intellectual disability/developmental delay-gingival overgrowth syndrome,"Childhood, Infancy, Neonatal",Autosomal dominant,2,1
598363,Multisystem inflammatory syndrome in children and adults,Childhood,Unknown,2,14
598164,FOXG1 syndrome due to intragenic alteration,Unknown,Autosomal dominant,3,11
93560,AApoAI amyloidosis,Unknown,Autosomal dominant,3,11
93561,ALys amyloidosis,Unknown,Autosomal dominant,3,11
93571,Dense deposit disease,Childhood,Autosomal recessive,2,7
93568,Juvenile polymyositis,"Adolescent, Childhood",Unknown,2,14
597201,TRIM22-related inflammatory bowel disease,Neonatal,Autosomal recessive,1,2
93474,Scheie syndrome,"Adolescent, Adult, Childhood",Autosomal recessive,2,7
93476,Hurler-Scheie syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
93473,Hurler syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
93399,Juvenile sialidosis type 2,Adolescent,Autosomal recessive,3,4
93398,Genochondromatosis type 2,Childhood,Unknown,2,7
93400,Congenital sialidosis type 2,"Infancy, Neonatal",Autosomal recessive,1,12
599373,STXBP1-related encephalopathy,Neonatal,Autosomal dominant,3,1
93403,Syndactyly type 2,"Infancy, Neonatal",Autosomal dominant,2,8
599376,Hypomyelination of early myelinating structures,Infancy,X-linked dominant,2,14
93402,Syndactyly type 1,"Antenatal, Infancy, Neonatal",Autosomal dominant,2,8
93405,Syndactyly type 4,"Infancy, Neonatal",Autosomal dominant,2,1
599418,Hereditary angioedema with normal C1Inh not related to F12 or PLG variant,Unknown,Autosomal dominant,3,11
93404,Syndactyly type 3,"Infancy, Neonatal",Autosomal dominant,2,8
599480,Acquired hemophilia A,"Adolescent, Adult, Childhood, Elderly",Not applicable,2,7
599485,Acquired hemophilia B,No data available,Not applicable,3,9
93406,Syndactyly type 5,"Infancy, Neonatal",Autosomal dominant,2,1
599490,Acquired factor V deficiency,"Adult, Elderly",Unknown,3,0
93409,"Brachydactyly-syndactyly, Zhao type","Infancy, Neonatal",Autosomal dominant,2,1
599495,Acquired factor VII deficiency,All ages,Unknown,3,0
599501,Acquired factor X deficiency,All ages,Unknown,3,0
599507,Acquired factor XI deficiency,"Adolescent, Adult",Unknown,3,6
599513,Acquired factor XIII deficiency,"Adolescent, Adult, Childhood, Elderly",Unknown,2,14
599519,Factor V short isoforms-related bleeding disorder,No data available,Autosomal dominant,3,11
599579,Factor V Amsterdam bleeding disorder,No data available,Autosomal dominant,3,11
93360,"Spondyloepimetaphyseal dysplasia with joint laxity, leptodactylic type","Infancy, Neonatal",Autosomal dominant,2,1
93358,Spondyloepimetaphyseal dysplasia-short limb-abnormal calcification syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
93357,SPONASTRIME dysplasia,"Infancy, Neonatal",Autosomal recessive,1,2
599082,CHD3-related developmental delay-speech delay-intellectual disability-abnormalities of vision-facial dysmorphism syndrome,"Infancy, Neonatal",Autosomal dominant,2,1
93372,Familial hypocalciuric hypercalcemia type 1,All ages,Autosomal dominant,3,4
93382,Brachydactyly type A6,"Infancy, Neonatal",Autosomal dominant,2,1
93383,Brachydactyly type B,Antenatal,Autosomal dominant,3,1
93387,Brachydactyly type E,Antenatal,Autosomal dominant,3,8
93388,Brachydactyly type A1,"Infancy, Neonatal",Autosomal dominant,2,8
93384,Brachydactyly type C,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1,12
93396,Brachydactyly type A2,"Infancy, Neonatal",Autosomal dominant,2,1
93397,Brachydactyly type A7,"Infancy, Neonatal",Unknown,2,14
93394,Brachydactyly type A4,"Infancy, Neonatal",Autosomal dominant,2,8
595356,Localized dystrophic epidermolysis bullosa,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1,12
93969,Open spinal dysraphism with a myelomeningocele,"Infancy, Neonatal","Multigenic/multifactorial, Not applicable",2,8
93964,Blepharospasm-oromandibular dystonia syndrome,"Adult, Elderly",Unknown,3,6
93958,Oromandibular dystonia,"Adolescent, Adult, Childhood, Elderly, Infancy",Unknown,2,14
94059,Uremic pruritus,"Adolescent, Adult, Childhood, Elderly",Not applicable,2,8
94058,Neovascular glaucoma,"Adult, Elderly",Not applicable,3,10
94056,Isolated humero-ulnar synostosis,No data available,Not applicable,3,9
93976,Anotia,"Infancy, Neonatal",Unknown,2,14
93932,FG syndrome type 1,"Antenatal, Neonatal",X-linked recessive,3,8
93930,Classic bladder exstrophy,"Infancy, Neonatal",Multigenic/multifactorial,2,8
93928,Isolated epispadias,"Antenatal, Infancy, Neonatal",Multigenic/multifactorial,2,8
93929,Cloacal exstrophy,"Infancy, Neonatal",Multigenic/multifactorial,2,1
93926,Midline interhemispheric variant of holoprosencephaly,"Infancy, Neonatal","Multigenic/multifactorial, Not applicable",2,8
93924,Lobar holoprosencephaly,"Infancy, Neonatal","Multigenic/multifactorial, Not applicable",2,8
93925,Alobar holoprosencephaly,"Infancy, Neonatal","Multigenic/multifactorial, Not applicable",2,8
93921,Full schwannomatosis,"Adult, Elderly",Autosomal dominant,3,13
93953,Familial thyroglossal duct cyst,"Infancy, Neonatal",Unknown,2,14
93952,"X-linked intellectual disability, Hedera type",Infancy,X-linked recessive,2,7
595109,Atypical Timothy syndrome,"Antenatal, Neonatal",Autosomal dominant,3,8
595133,Perivascular epithelioid cell neoplasm,"Adolescent, Adult, Childhood, Elderly",Unknown,2,14
93950,"X-linked intellectual disability, Sutherland-Haan type","Antenatal, Infancy, Neonatal",X-linked recessive,2,8
595098,Timothy syndrome type 1,"Antenatal, Neonatal",Autosomal dominant,3,8
93947,"X-linked intellectual disability, Golabi-Ito-Hall type","Infancy, Neonatal",X-linked recessive,2,1
595105,Timothy syndrome type 2,"Antenatal, Neonatal",Autosomal dominant,3,8
93946,Hamel cerebro-palato-cardiac syndrome,"Infancy, Neonatal",X-linked recessive,2,1
93945,"X-linked intellectual disability, Porteous type",Infancy,X-linked recessive,2,1
93941,Laryngotracheoesophageal cleft type 4,"Infancy, Neonatal",Unknown,2,14
93940,Laryngotracheoesophageal cleft type 3,"Infancy, Neonatal",Unknown,2,14
93939,Laryngotracheoesophageal cleft type 2,"Infancy, Neonatal",Unknown,2,8
93938,Laryngotracheoesophageal cleft type 1,"Infancy, Neonatal",Unknown,2,8
93616,Hemoglobin H disease,All ages,Autosomal recessive,3,4
93622,Dent disease type 1,Childhood,X-linked recessive,2,1
93623,Dent disease type 2,"Childhood, Infancy",X-linked recessive,2,1
93672,Juvenile dermatomyositis,"Adolescent, Childhood, Infancy",Not applicable,2,14
93685,Unicentric Castleman disease,All ages,Unknown,3,6
93591,Infantile nephronophthisis,"Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive,1,12
93592,Juvenile nephronophthisis,Unknown,Autosomal recessive,3,3
93589,Late-onset nephronophthisis,Unknown,Autosomal recessive,3,3
93598,Primary hyperoxaluria type 1,All ages,Autosomal recessive,3,0
596008,Antley-Bixler syndrome without genital anomaly or disorder of steroidogenesis,Unknown,Autosomal dominant,3,11
93583,Congenital thrombotic thrombocytopenic purpura,"Adult, Childhood, Infancy, Neonatal",Autosomal recessive,1,2
93585,Immune-mediated thrombotic thrombocytopenic purpura,All ages,Multigenic/multifactorial,3,5
93610,Distal renal tubular acidosis with anemia,"Infancy, Neonatal",Autosomal dominant,2,1
596759,Combined immunodeficiency due to RELA haploinsufficiency,Childhood,Autosomal dominant,2,7
93608,Autosomal dominant distal renal tubular acidosis,"Adolescent, Adult",Autosomal dominant,3,4
93607,Autosomal recessive proximal renal tubular acidosis,Childhood,Autosomal recessive,2,1
93613,Cystinuria type B,Unknown,Semi-dominant,3,11
596937,Portosinusoidal vascular disease,Adult,Unknown,3,6
93612,Cystinuria type A,Unknown,Autosomal recessive,3,3
93602,Xanthinuria type II,Unknown,Autosomal recessive,3,3
93601,Xanthinuria type I,Unknown,Autosomal recessive,3,3
596448,IgG4-related systemic disease,"Adolescent, Adult, Childhood, Elderly",Not applicable,2,14
93600,Primary hyperoxaluria type 3,"Childhood, Infancy",Autosomal recessive,2,7
93599,Primary hyperoxaluria type 2,Childhood,Autosomal recessive,2,7
93606,Nephrogenic syndrome of inappropriate antidiuresis,Childhood,X-linked recessive,2,7
596753,VEXAS syndrome,"Adult, Elderly",Not applicable,3,5
93605,Bartter syndrome type 3,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive,2,12
99094,Laubry-Pezzi syndrome,"Infancy, Neonatal",Unknown,2,8
99077,Kommerell diverticulum,Unknown,Not applicable,3,9
99068,Complete atrioventricular septal defect-tetralogy of Fallot,Unknown,"Autosomal dominant, Not applicable",3,11
99067,Complete atrioventricular septal defect with ventricular hypoplasia,Unknown,Autosomal dominant,3,11
99063,Shone complex,"Adult, Childhood, Infancy, Neonatal",Unknown,2,14
99125,Congenital total pulmonary venous return anomaly,Neonatal,Not applicable,3,8
99124,Congenital partial pulmonary venous return anomaly,"Adolescent, Adult, Childhood, Infancy",Unknown,2,14
99106,"Atrial septal defect, ostium primum type","Antenatal, Infancy, Neonatal","Autosomal dominant, Not applicable",2,8
99105,"Atrial septal defect, sinus venosus type","Antenatal, Infancy, Neonatal","Autosomal dominant, Not applicable",2,8
99104,"Atrial septal defect, coronary sinus type","Antenatal, Infancy, Neonatal",Unknown,2,8
99103,"Atrial septal defect, ostium secundum type","Antenatal, Infancy, Neonatal","Autosomal dominant, Not applicable",2,8
99095,Congenital Gerbode defect,"Infancy, Neonatal",Unknown,2,8
99147,Acquired von Willebrand syndrome,Adult,Not applicable,3,5
99138,Hemolytic anemia due to erythrocyte adenosine deaminase overproduction,Unknown,Autosomal dominant,3,11
592873,Acute transverse myelitis with anti-MOG antibodies,"Adolescent, Adult, Childhood, Elderly, Infancy",Unknown,2,14
99141,Lymphedema-posterior choanal atresia syndrome,Neonatal,Autosomal recessive,1,2
99130,Congenital partial agenesis of pericardium,Unknown,Not applicable,3,9
99129,Congenital complete agenesis of pericardium,Unknown,Not applicable,3,9
99131,Pleuro-pericardial cyst,Unknown,Not applicable,3,9
99329,"48,XYYY syndrome","Antenatal, Infancy, Neonatal",Unknown,2,14
99330,"49,XYYYY syndrome","Antenatal, Infancy, Neonatal",Unknown,2,14
99228,Mosaic monosomy X syndrome,"Antenatal, Childhood, Infancy, Neonatal",Not applicable,2,8
99324,Paternal uniparental disomy of chromosome 13 syndrome,"Antenatal, Neonatal",Unknown,3,8
99361,Isolated familial medullary thyroid carcinoma,Unknown,Autosomal dominant,3,11
99226,Monosomy X syndrome,"Antenatal, Childhood, Infancy, Neonatal",Not applicable,2,8
99179,Kandori fleck retina,"Adolescent, Adult, Childhood",Unknown,2,14
99172,Euryblepharon,Neonatal,Unknown,3,8
99657,"Primary dystonia, DYT2 type",Childhood,Autosomal recessive,2,1
99429,Complete androgen insensitivity syndrome,All ages,X-linked recessive,3,4
99642,"Spondyloepimetaphyseal dysplasia, Handigodu type","Adolescent, Adult, Childhood",Unknown,2,7
99413,Turner syndrome due to structural X chromosome anomalies,"Antenatal, Childhood, Infancy, Neonatal",Unknown,2,8
99646,Metaphyseal chondromatosis with D-2-hydroxyglutaric aciduria,"Childhood, Infancy, Neonatal",Not applicable,2,8
99688,Dermotrichic syndrome,Neonatal,Unknown,3,14
592574,Menke-Hennekam syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant,2,1
592564,GNAO1-related developmental delay-seizures-movement disorder spectrum,"Childhood, Infancy, Neonatal",Autosomal dominant,2,1
592570,TRAF7-associated heart defect-digital anomalies-facial dysmorphism-motor and speech delay syndrome,"Antenatal, Neonatal",Autosomal dominant,3,1
99672,Fried's tooth and nail syndrome,"Antenatal, Infancy, Neonatal",Unknown,2,14
99718,Leber plus disease,"Adolescent, Adult, Childhood, Infancy",Mitochondrial inheritance,2,7
590539,Isolated melanotic schwannoma,"Adolescent, Adult, Childhood, Elderly",Unknown,2,14
99725,Pituitary gigantism,"Adolescent, Childhood, Infancy","Autosomal dominant, X-linked dominant",2,1
589821,Congenital-onset Steinert myotonic dystrophy,"Antenatal, Neonatal",Autosomal dominant,3,8
589827,Juvenile-onset Steinert myotonic dystrophy,Childhood,Autosomal dominant,2,1
99701,Mesial temporal lobe epilepsy with hippocampal sclerosis,"Adolescent, Adult, Childhood, Elderly, Infancy",Unknown,2,14
589824,Childhood-onset Steinert myotonic dystrophy,"Childhood, Infancy",Autosomal dominant,2,1
589833,Late-onset Steinert myotonic dystrophy,Elderly,Autosomal dominant,3,11
589830,Adult-onset Steinert myotonic dystrophy,Adult,Autosomal dominant,3,13
99704,Early-onset obesity-hyperphagia-severe developmental delay syndrome,Unknown,Autosomal dominant,3,11
589905,PHIP-related behavioral problems-intellectual disability-obesity-dysmorphic features syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant,2,1
589856,Choanal atresia-athelia-hypothyroidism-delayed puberty-short stature syndrome,Neonatal,Autosomal dominant,3,1
99710,Punctate acrokeratoderma freckle-like pigmentation,Childhood,Unknown,2,14
99750,Atypical progressive supranuclear palsy syndrome,"Adult, Elderly",Unknown,3,6
99749,Kostmann syndrome,Neonatal,Autosomal recessive,1,2
99748,Pontiac fever,All ages,Not applicable,3,10
99757,Embryonal rhabdomyosarcoma,Unknown,Multigenic/multifactorial,3,11
99756,Alveolar rhabdomyosarcoma,Unknown,Multigenic/multifactorial,3,11
99734,Myotonia fluctuans,Childhood,Autosomal dominant,2,1
99731,Isolated sulfite oxidase deficiency,"Infancy, Neonatal",Autosomal recessive,1,2
99735,Myotonia permanens,Childhood,Autosomal dominant,2,1
99736,Acetazolamide-responsive myotonia,Childhood,Autosomal dominant,2,1
99741,King-Denborough syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant,2,1
99742,Amish lethal microcephaly,"Antenatal, Infancy, Neonatal",Autosomal recessive,1,2
99739,Rare familial disorder with hypertrophic cardiomyopathy,Unknown,Autosomal dominant,3,11
99745,Typhoid,All ages,Not applicable,3,5
98820,Familial focal epilepsy with variable foci,"Adolescent, Adult, Childhood, Infancy",Autosomal dominant,2,1
98818,Landau-Kleffner syndrome,Childhood,"Autosomal dominant, Unknown",2,1
98813,Hypohidrotic ectodermal dysplasia with immunodeficiency,"Infancy, Neonatal","Autosomal dominant, X-linked recessive",2,1
98811,Paroxysmal exertion-induced dyskinesia,"Adolescent, Adult, Childhood, Infancy","Autosomal dominant, Not applicable",2,1
98810,Paroxysmal non-kinesigenic dyskinesia,"Adolescent, Adult, Childhood, Infancy","Autosomal dominant, Not applicable",2,1
98809,Paroxysmal kinesigenic dyskinesia,"Adolescent, Adult, Childhood, Infancy","Autosomal dominant, Not applicable",2,1
98808,Autosomal dominant dopa-responsive dystonia,Childhood,"Autosomal dominant, Not applicable",2,1
98807,"Primary dystonia, DYT13 type","Adolescent, Childhood",Autosomal dominant,2,7
98838,Primary mediastinal large B-cell lymphoma,Adult,"Multigenic/multifactorial, Not applicable",3,10
98833,Acute myeloblastic leukemia without maturation,Adult,Not applicable,3,5
98834,Acute myeloblastic leukemia with maturation,All ages,Not applicable,3,5
98831,Acute myeloid leukemia with 11q23 abnormalities,Childhood,Unknown,2,14
98832,Acute myeloid leukemia with minimal differentiation,Adult,Not applicable,3,5
98829,Acute myeloid leukemia with abnormal bone marrow eosinophils inv(16)(p13q22) or t(16;16)(p13;q22),Adult,Unknown,3,0
98827,Unclassified myelodysplastic syndrome,All ages,Not applicable,3,10
98826,Myelodysplastic neoplasm with low blasts,"Adolescent, Adult, Childhood, Elderly, Infancy",Not applicable,2,8
98823,Chronic myelomonocytic leukemia,Adult,Not applicable,3,5
98824,Atypical chronic myeloid leukemia,Adult,Not applicable,3,5
98851,Mast cell leukemia,All ages,Not applicable,3,5
98853,Autosomal dominant Emery-Dreifuss muscular dystrophy,Childhood,Autosomal dominant,2,1
98848,Indolent systemic mastocytosis,"Adult, Elderly",Not applicable,3,10
98850,Aggressive systemic mastocytosis,"Adult, Antenatal, Elderly, Neonatal",Not applicable,3,8
98849,Systemic mastocytosis with associated hematologic neoplasm,"Adult, Elderly",Not applicable,3,10
98844,"Classic Hodgkin lymphoma, mixed cellularity type",Adult,Unknown,3,0
98843,"Classic Hodgkin lymphoma, nodular sclerosis type",Adult,Unknown,3,6
98846,"Classic Hodgkin lymphoma, lymphocyte-depleted type",Adult,Unknown,3,0
98845,"Classic Hodgkin lymphoma, lymphocyte-rich type",Adult,Unknown,3,0
98839,Intravascular large B-cell lymphoma,Unknown,Not applicable,3,9
98842,Lymphomatoid papulosis,All ages,Unknown,3,6
98841,Anaplastic large cell lymphoma,All ages,Not applicable,3,10
589608,"Linear hypopigmentation and craniofacial asymmetry with acral, ocular and brain anomalies",No data available,Not applicable,3,9
589595,Mixed phenotype acute leukemia with t(v;11q23.3),"Adolescent, Adult, Childhood, Infancy",Not applicable,2,8
98868,Southeast Asian ovalocytosis,All ages,Autosomal dominant,3,13
98869,Congenital dyserythropoietic anemia type I,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal recessive,1,2
589618,Dystonia 28,"Childhood, Infancy",Autosomal dominant,2,1
98870,Congenital dyserythropoietic anemia type III,All ages,"Autosomal dominant, Autosomal recessive",3,13
589534,Mixed phenotype acute leukemia with t(9;22)(q34.1;q11.2),"Adolescent, Adult, Childhood, Elderly",Not applicable,2,14
98863,X-linked Emery-Dreifuss muscular dystrophy,Childhood,X-linked recessive,2,7
589527,Spinocerebellar ataxia type 45,Adult,Autosomal dominant,3,13
589547,"GRIN2B-related developmental delay, intellectual disability and autism spectrum disorder","Childhood, Infancy, Neonatal",Autosomal dominant,2,1
589542,Myeloid/lymphoid neoplasm associated with JAK2 rearrangement,"Adolescent, Adult, Childhood, Elderly",Unknown,2,14
589442,Short stature-skeletal dysplasia-retinal degeneration-intellectual disability-sensorineural hearing loss syndrome,"Childhood, Infancy, Neonatal",Autosomal recessive,1,2
589435,Spondylometaphyseal dysplasia-corneal dystrophy syndrome,Neonatal,Autosomal recessive,1,2
589522,Spinocerebellar ataxia type 46,Adult,Autosomal dominant,3,13
589515,PUM1-associated developmental disability-ataxia-seizure syndrome,"Infancy, Neonatal",Autosomal dominant,2,1
98855,Autosomal recessive Emery-Dreifuss muscular dystrophy,Childhood,Autosomal recessive,2,1
98856,Charcot-Marie-Tooth disease type 2B1,Childhood,Autosomal recessive,2,1
98881,Familial dysfibrinogenemia,All ages,Autosomal dominant,3,4
98880,Familial afibrinogenemia,"Infancy, Neonatal",Autosomal recessive,1,12
98879,Hemophilia B,"Childhood, Infancy, Neonatal",X-linked recessive,2,1
98886,Bleeding diathesis due to integrin alpha2-beta1 deficiency,Unknown,Autosomal dominant,3,11
98885,Bleeding diathesis due to glycoprotein VI deficiency,Unknown,Autosomal recessive,3,3
98873,Congenital dyserythropoietic anemia type II,"Adolescent, Adult, Childhood, Elderly, Infancy, Neonatal",Autosomal recessive,1,2
98871,Transient erythroblastopenia of childhood,"Childhood, Infancy",Unknown,2,14
98878,Hemophilia A,"Childhood, Infancy, Neonatal",X-linked recessive,2,1
98897,Oculopharyngodistal myopathy,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive",2,1
98895,Becker muscular dystrophy,"Adolescent, Adult, Childhood, Elderly",X-linked recessive,2,7
98896,Duchenne muscular dystrophy,Childhood,X-linked recessive,2,7
98902,Amish nemaline myopathy,Neonatal,Autosomal recessive,1,2
98889,Bilateral perisylvian polymicrogyria,"Antenatal, Infancy, Neonatal",Autosomal recessive,1,12
98890,Early-onset X-linked optic atrophy,Childhood,X-linked recessive,2,7
98893,Congenital muscular dystrophy type 1B,"Infancy, Neonatal",Autosomal recessive,1,2
98892,Periventricular nodular heterotopia,Childhood,"Autosomal dominant, Autosomal recessive, X-linked dominant",2,1
98912,"Late-onset distal myopathy, Markesbery-Griggs type",Adult,Autosomal dominant,3,13
98911,Distal myotilinopathy,"Adult, Elderly",Autosomal dominant,3,4
98914,Presynaptic congenital myasthenic syndromes,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1,12
98913,Postsynaptic congenital myasthenic syndrome,"Infancy, Neonatal",Autosomal recessive,1,12
98916,Acute inflammatory demyelinating polyradiculoneuropathy,All ages,"Multigenic/multifactorial, Not applicable",3,10
98915,Synaptic congenital myasthenic syndrome,"Infancy, Neonatal",Autosomal recessive,1,12
98918,Acute motor axonal neuropathy,All ages,"Multigenic/multifactorial, Not applicable",3,10
98917,Acute motor and sensory axonal neuropathy,All ages,"Multigenic/multifactorial, Not applicable",3,10
98904,Congenital myopathy with excess of thin filaments,Unknown,Autosomal dominant,3,11
