OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier,cluster
293144,Familial clubfoot due to 5q31 microdeletion,Unknown,Not applicable,3,9
293168,Infantile-onset ascending hereditary spastic paralysis,"Infancy, Neonatal",Autosomal recessive,1,2
293165,Skin fragility-woolly hair-palmoplantar keratoderma syndrome,Childhood,"Autosomal dominant, Autosomal recessive",2,7
428,Autosomal dominant hypocalcemia,All ages,Autosomal dominant,3,13
293181,Epilepsy of infancy with migrating focal seizures,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive",1,2
2298,Insulin-resistance syndrome type B,"Adolescent, Adult, Childhood, Elderly",Not applicable,2,14
293173,Acute generalized exanthematous pustulosis,All ages,"Multigenic/multifactorial, Not applicable",3,5
2207,Familial primary hyperparathyroidism,Childhood,Autosomal dominant,2,1
293199,Pleomorphic rhabdomyosarcoma,"Adolescent, Adult, Childhood, Elderly, Infancy",Not applicable,2,14
393,"46,XX testicular difference of sex development","Adolescent, Antenatal, Neonatal",Autosomal dominant,3,8
293202,Epithelioid sarcoma,"Adolescent, Adult, Childhood",Not applicable,2,7
293284,Tetrahydrobiopterin-responsive phenylketonuria,"Infancy, Neonatal",Autosomal recessive,1,12
293208,Celiac artery compression syndrome,"Adolescent, Adult, Childhood, Elderly",Not applicable,2,14
2459,Mansonelliasis,All ages,Not applicable,3,5
2404,Loiasis,All ages,Not applicable,3,5
2394,Pyruvate dehydrogenase E3 deficiency,Childhood,Autosomal recessive,2,7
2356,Arachnoid cyst,Childhood,"Autosomal recessive, Not applicable",2,1
829,Adult-onset Still disease,"Adult, Elderly",Not applicable,3,5
3096,Reye syndrome,"Adolescent, Adult, Childhood, Infancy",Unknown,2,14
1929,Rasmussen subacute encephalitis,Childhood,Not applicable,2,14
1183,Opsoclonus-myoclonus syndrome,"Childhood, Infancy",Not applicable,2,14
2688,Adult idiopathic neutropenia,Adult,Not applicable,3,5
2686,Cyclic neutropenia,All ages,Autosomal dominant,3,13
890,Hepatic veno-occlusive disease,All ages,Not applicable,3,10
176,Non-rhizomelic chondrodysplasia punctata,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked dominant, X-linked recessive",1,12
231,Dracunculiasis,All ages,Unknown,3,0
2035,Lymphatic filariasis,All ages,Not applicable,3,5
284448,CLIPPERS,Adult,Not applicable,3,5
284454,Acute zonal occult outer retinopathy,"Adolescent, Adult",Not applicable,3,10
284460,Acute annular outer retinopathy,Adult,Not applicable,3,5
284414,"Glycerol kinase deficiency, adult form",Adult,X-linked recessive,3,4
284417,"Phosphoserine aminotransferase deficiency, infantile/juvenile form","Infancy, Neonatal",Autosomal dominant,2,1
284426,Glycogen storage disease due to lactate dehydrogenase M-subunit deficiency,Childhood,Autosomal recessive,2,1
284435,Glycogen storage disease due to lactate dehydrogenase H-subunit deficiency,Adult,"Autosomal dominant, Autosomal recessive",3,4
284973,Marfan syndrome type 2,All ages,Autosomal dominant,3,4
