OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier
420584,Postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome,"Antenatal, Neonatal",Autosomal dominant,3
420699,Autosomal recessive severe congenital neutropenia due to CXCR2 deficiency,"Infancy, Neonatal",Autosomal recessive,1
420686,Woolly hair-palmoplantar keratoderma syndrome,"Childhood, Infancy, Neonatal",Autosomal recessive,1
420561,Temple-Baraitser syndrome,"Infancy, Neonatal",Autosomal dominant,2
420573,Severe combined immunodeficiency due to CTPS1 deficiency,"Childhood, Infancy, Neonatal",Autosomal recessive,1
420566,Bleeding disorder due to CalDAG-GEFI deficiency,Infancy,Autosomal recessive,2
423461,Mucolipidosis type III alpha/beta,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal recessive,1
423470,Mucolipidosis type III gamma,,Autosomal recessive,3
423454,Nail and teeth abnormalities-marginal palmoplantar keratoderma-oral hyperpigmentation syndrome,Infancy,Autosomal recessive,2
423384,Severe congenital neutropenia due to JAGN1 deficiency,"Infancy, Neonatal",Autosomal recessive,1
423296,Spinocerebellar ataxia type 38,Adult,Autosomal dominant,3
423306,Microcephaly-short stature-intellectual disability-facial dysmorphism syndrome,"Infancy, Neonatal",Autosomal recessive,1
423717,Cutaneous larva migrans,All ages,Not applicable,3
423693,Double outlet right ventricle with subaortic or doubly committed ventricular septal defect,,Multigenic/multifactorial,3
423712,"Double outlet right ventricle with atrioventricular septal defect, pulmonary stenosis, heterotaxy",,Multigenic/multifactorial,3
423479,X-linked intellectual disability-limb spasticity-retinal dystrophy-arginine vasopressin deficiency,"Antenatal, Neonatal",X-linked recessive,3
423655,ARX-related encephalopathy-brain malformation spectrum,"Antenatal, Childhood, Infancy, Neonatal",,2
422526,Hereditary clear cell renal cell carcinoma,Adult,Unknown,3
423275,Spinocerebellar ataxia type 40,Adult,Autosomal dominant,3
424065,Pancreatic solid pseudopapillary neoplasm,Adult,Not applicable,3
424058,Intraductal papillary mucinous carcinoma of pancreas,Adult,Not applicable,3
424080,Undifferentiated carcinoma with osteoclast-like giant cells of pancreas,Adult,Not applicable,3
424073,Serous cystadenocarcinoma of pancreas,Adult,Not applicable,3
424107,Congenital myopathy with myasthenic-like onset,"Infancy, Neonatal",Autosomal recessive,1
424099,Colobomatous microphthalmia-rhizomelic dysplasia syndrome,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive",1
424261,TOR1AIP1-related limb-girdle muscular dystrophy,"Adolescent, Childhood",Autosomal recessive,2
424016,Adenocarcinoma of the anal canal,Adult,Not applicable,3
424027,Progressive myoclonic epilepsy type 8,"Adolescent, Childhood",Autosomal recessive,2
424019,Squamous cell carcinoma of the anal canal,Adult,Not applicable,3
424039,Squamous cell carcinoma of pancreas,Adult,Not applicable,3
424053,Mucinous cystadenocarcinoma of the pancreas,Adult,Not applicable,3
424046,Acinar cell carcinoma of pancreas,Adult,Not applicable,3
423968,Squamous cell carcinoma of the small intestine,"Adult, Elderly",Not applicable,3
423994,Squamous cell carcinoma of the colon,Adult,Not applicable,3
424002,Squamous cell carcinoma of the rectum,Adult,Not applicable,3
423786,Undifferentiated carcinoma of stomach,Adult,Not applicable,3
423894,Microcephaly-complex motor and sensory axonal neuropathy syndrome,"Antenatal, Infancy, Neonatal",Autosomal recessive,1
431140,X-linked colobomatous microphthalmia-microcephaly-intellectual disability-short stature syndrome,"Antenatal, Neonatal",X-linked recessive,3
425120,STING-associated vasculopathy with onset in infancy,Infancy,Autosomal dominant,2
424943,Adenocarcinoma of the liver and intrahepatic biliary tract,Adult,Not applicable,3
424970,Undifferentiated carcinoma of liver and intrahepatic biliary tract,Adult,Not applicable,3
424991,Adenocarcinoma of the gallbladder and extrahepatic biliary tract,Adult,Not applicable,3
424996,Squamous cell carcinoma of gallbladder and extrahepatic biliary tract,Adult,Not applicable,3
424975,Squamous cell carcinoma of liver and intrahepatic biliary tract,Adult,Not applicable,3
424982,Biliary cystadenocarcinoma,Adult,Not applicable,3
431361,Progressive encephalopathy with leukodystrophy due to DECR deficiency,"Infancy, Neonatal",Autosomal recessive,1
431353,Pulmonary veno-occlusive disease and/or pulmonary capillary haemangiomatosis,All ages,,3
431341,Patent urachus,Neonatal,Not applicable,3
431344,Urachal sinus,"Infancy, Neonatal",Not applicable,2
431347,Urachal diverticulum,,Not applicable,3
431272,X-linked scapuloperoneal muscular dystrophy,Adult,X-linked dominant,3
