OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance
33,Isovaleric acidemia,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal recessive
819,Smith-Magenis syndrome,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal dominant
3085,Retinitis pigmentosa-intellectual disability-deafness-hypogonadism syndrome,Childhood,Autosomal recessive
9,Tetrasomy X syndrome,"Infancy, Neonatal",
168612,Congenital deficiency in alpha-fetoprotein,"Antenatal, Neonatal",Autosomal recessive
1442,Ring chromosome 18 syndrome,"Antenatal, Infancy, Neonatal",
168621,"Dysplasia of head of femur, Meyer type","Infancy, Neonatal",
1452,Cleidocranial dysplasia,"Antenatal, Neonatal","Autosomal dominant, Not applicable"
193,Cohen syndrome,"Antenatal, Infancy, Neonatal",Autosomal recessive
168624,"Familial scaphocephaly syndrome, McGillivray type","Infancy, Neonatal",Autosomal dominant
1488,Cooper-Jabs syndrome,Neonatal,Autosomal recessive
200,Isolated corpus callosum agenesis,Antenatal,Not applicable
1334,Chronic mucocutaneous candidiasis,"Childhood, Infancy","Autosomal dominant, Autosomal recessive"
168583,Hereditary North American Indian childhood cirrhosis,"Infancy, Neonatal",Autosomal recessive
1369,Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome,"Infancy, Neonatal",Autosomal recessive
168577,Hereditary cryohydrocytosis with reduced stomatin,"Infancy, Neonatal",Autosomal dominant
168593,Sudden infant death-dysgenesis of the testes syndrome,"Infancy, Neonatal",Autosomal recessive
1406,Charlie M syndrome,Neonatal,Not applicable
168588,Hyperandrogenism due to cortisone reductase deficiency,"Antenatal, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
168601,Congenital enteropathy due to enteropeptidase deficiency,"Infancy, Neonatal",Autosomal recessive
1414,Cholestasis-lymphedema syndrome,"Infancy, Neonatal",Autosomal recessive
168598,Methionine adenosyltransferase I/III deficiency,Infancy,Autosomal recessive
168606,Seborrhea-like dermatitis with psoriasiform elements,Childhood,Autosomal dominant
168549,Axial spondylometaphyseal dysplasia,"Childhood, Infancy",Autosomal recessive
168552,Spondylometaphyseal dysplasia-bowed forearms-facial dysmorphism syndrome,Infancy,Autosomal recessive
1154,Arthrogryposis-oculomotor limitation-electroretinal anomalies syndrome,Neonatal,"Autosomal dominant, Autosomal recessive"
168555,"Spondylometaphyseal dysplasia, A4 type",Infancy,Autosomal recessive
168558,"46,XY difference of sex development-adrenal insufficiency due to CYP11A1 deficiency","Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
168563,"46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome","Infancy, Neonatal",Autosomal recessive
124,Diamond-Blackfan anemia,"Childhood, Infancy, Neonatal",Autosomal dominant
168566,Fatal mitochondrial disease due to combined oxidative phosphorylation defect type 3,"Infancy, Neonatal",Autosomal recessive
1310,Caffey disease,"Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Unknown"
168569,H syndrome,Childhood,Autosomal recessive
168572,Native American myopathy,"Infancy, Neonatal",Autosomal recessive
125,Bloom syndrome,"Antenatal, Neonatal",Autosomal recessive
90,Argininemia,"Childhood, Infancy",Autosomal recessive
168443,Spondyloepimetaphyseal dysplasia-hypotrichosis syndrome,"Infancy, Neonatal",
1065,Aniridia-cerebellar ataxia-intellectual disability syndrome,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable"
168451,Spondyloepimetaphyseal dysplasia-abnormal dentition syndrome,Infancy,
168454,"Spondyloepimetaphyseal dysplasia, Geneviève type",Infancy,Autosomal recessive
1146,Distal arthrogryposis type 1,"Antenatal, Neonatal",Autosomal dominant
1143,Neurogenic arthrogryposis multiplex congenita,Neonatal,Autosomal recessive
1147,Sheldon-Hall syndrome,Neonatal,"Autosomal dominant, Not applicable"
246,Postaxial acrofacial dysostosis,"Antenatal, Neonatal",Autosomal recessive
1770,XY type gonadal dysgenesis-associated anomalies syndrome,Neonatal,Autosomal recessive
1775,Dyskeratosis congenita,"Adolescent, Adult, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive"
1764,Familial dysautonomia,"Childhood, Infancy, Neonatal",Autosomal recessive
235,Dubowitz syndrome,"Antenatal, Neonatal",Autosomal recessive
239,Dyggve-Melchior-Clausen disease,Infancy,Autosomal recessive
1672,Diencephalic syndrome,"Adolescent, Adult, Childhood, Infancy",Not applicable
833,Encephalopathy due to sulfite oxidase deficiency,"Antenatal, Infancy, Neonatal",Autosomal recessive
765,Pyruvate dehydrogenase deficiency,"Childhood, Infancy, Neonatal","Autosomal recessive, Not applicable, X-linked dominant"
395,Homocystinuria due to methylene tetrahydrofolate reductase deficiency,"Infancy, Neonatal",Autosomal recessive
148,Multiple carboxylase deficiency,"Infancy, Neonatal",Autosomal recessive
