OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier,onset_score,rarity_weight,OMIM,MONDO,ICD-10,DisorderType
276183,Spinocerebellar ataxia type 32,Adult,Autosomal dominant,3,3,7.0,613909.0,13486.0,G11.8,Disease
3224,Deafness-genital anomalies-metacarpal and metatarsal synostosis syndrome,"Infancy, Neonatal",,2,8,7.0,,17920.0,Q87.8,Malformation syndrome
276174,Idiopathic recurrent stupor,Adult,Not applicable,3,3,5.0,,17170.0,G93.8,Disease
276238,Machado-Joseph disease type 1,"Adult, Childhood",Autosomal dominant,2,6,5.0,109150.0,17174.0,G11.8,Clinical subtype
276234,Non-syndromic male infertility due to sperm motility disorder,Adult,Autosomal recessive,3,3,5.0,614822.0,17173.0,N46,Disease
276223,"Mucopolysaccharidosis type 6, slowly progressing",,Autosomal recessive,3,0,5.0,253200.0,17172.0,E76.2,Clinical subtype
276212,"Mucopolysaccharidosis type 6, rapidly progressing",,Autosomal recessive,3,0,5.0,253200.0,17171.0,E76.2,Clinical subtype
3230,Deafness-oligodontia syndrome,"Infancy, Neonatal",,2,8,7.0,221740.0,9089.0,H90.3,Malformation syndrome
3231,Deafness-onychodystrophy syndrome,Childhood,"Autosomal dominant, Autosomal recessive",2,6,7.0,220500.0,,,Clinical group
276244,Machado-Joseph disease type 3,Adult,Autosomal dominant,3,3,5.0,109150.0,17176.0,G11.8,Clinical subtype
276241,Machado-Joseph disease type 2,Adult,Autosomal dominant,3,3,5.0,109150.0,17175.0,G11.8,Clinical subtype
3235,Progressive deafness with stapes fixation,Childhood,Autosomal recessive,2,6,5.0,601449.0,11080.0,H74.3,Malformation syndrome
3236,Conductive deafness-ptosis-skeletal anomalies syndrome,No data available,,3,0,7.0,221320.0,9084.0,Q82.4,Malformation syndrome
3232,Deafness-ear malformation-facial palsy syndrome,Neonatal,,3,8,7.0,124490.0,7421.0,Q87.0,Malformation syndrome
3233,Cochleosaccular degeneration-cataract syndrome,Adult,,3,3,7.0,120040.0,7346.0,H83.8,Malformation syndrome
3241,Deafness-craniofacial syndrome,Neonatal,,3,8,7.0,125230.0,7428.0,Q87.0,Malformation syndrome
276280,Hemihyperplasia-multiple lipomatosis syndrome,Childhood,Not applicable,2,6,7.0,,17177.0,Q87.3,Malformation syndrome
276399,Familial multinodular goiter,Adolescent,Autosomal dominant,3,5,5.0,138800.0,7681.0,E04.2,Disease
3239,Deafness-vitiligo-achalasia syndrome,"Infancy, Neonatal",Autosomal recessive,1,8,7.0,221350.0,9085.0,Q87.8,Malformation syndrome
3238,Cardiospondylocarpofacial syndrome,All ages,Autosomal dominant,3,4,7.0,157800.0,8005.0,Q87.8,Malformation syndrome
3237,Multiple synostoses syndrome,Childhood,Autosomal dominant,2,6,7.0,617898.0,17923.0,Q78.8,Malformation syndrome
3246,Symphalangism with multiple anomalies of hands and feet,"Infancy, Neonatal",,2,8,7.0,185750.0,8510.0,Q74.8,Malformation syndrome
276413,10q22.3q23.3 microdeletion syndrome,"Infancy, Neonatal","Not applicable, Unknown",2,8,5.0,612242.0,12830.0,Q93.5,Malformation syndrome
3242,Renpenning syndrome,"Infancy, Neonatal",X-linked recessive,2,8,7.0,309500.0,10653.0,Q87.5,Malformation syndrome
276405,Hyperbiliverdinemia,Adult,"Autosomal dominant, Autosomal recessive",3,3,7.0,614156.0,13595.0,K76.8,Disease
3250,Proximal symphalangism,"Infancy, Neonatal",Autosomal dominant,2,8,5.0,615298.0,8511.0,Q70.9,Malformation syndrome
3248,Isolated distal symphalangism,"Infancy, Neonatal",Autosomal dominant,2,8,7.0,185700.0,8509.0,Q70.9,Morphological anomaly
276422,10q22.3q23.3 microduplication syndrome,"Infancy, Neonatal","Not applicable, Unknown",2,8,5.0,,17180.0,Q92.3,Malformation syndrome
276429,Hypnic headache,"Adult, Childhood, Elderly",Not applicable,2,6,5.0,,17181.0,G44.8,Disease
3255,Filippi syndrome,"Infancy, Neonatal",Autosomal recessive,1,8,7.0,272440.0,10092.0,Q87.8,Malformation syndrome
276556,Hyperinsulinism due to UCP2 deficiency,"Infancy, Neonatal",Autosomal dominant,2,8,7.0,,17183.0,E16.1,Disease
276432,Ogden syndrome,"Infancy, Neonatal","X-linked dominant, X-linked recessive",2,8,7.0,300855.0,10457.0,E34.8,Malformation syndrome
